original_index,prompt,citation,title_extracted,venue_extracted,top_match,title_similarity,venue_similarity,venue_crossref,status
18,"I want to write an article about: ""AI can delegitimize institutional knowledge. When institutions rely on outputs that appear authoritative but are not accountable, trust in institutional knowledge can erode."". Give me references that support the hypothesis related to that topic.","Kroll, J. Scott, and Ryan Calo. ""The Ethics of Artificial Intelligence."" Journal of Law, Information & Science 24, no. 1 (2018): 1-34. [8]

These references discuss the role of AI in various contexts, including its potential to create authoritative outputs that lack account",The Ethics of Artificial Intelligence.,,"{'title': 'Ethics in Artificial Intelligence', 'author': 'Bhosale; Kulkarni; Kausar', 'published_year': 2025, 'type': 'book-chapter', 'doi': '10.4018/979-8-3373-0250-8.ch006', 'container': 'Advances in Computational Intelligence and Robotics'}",0.8732,0.0,Advances in Computational Intelligence and Robotics,exists
19,"I want to write an article about: ""When AI is used for journalism, systems can fail to track shifting social and political context, weakening journalistic responsiveness. Model outputs may not adapt in ways that reflect human complexity or evolving events."". Give me references that support the hypothesis related to that topic.","Title: ""Artificial Intelligence in Journalism: Challenges and Opportunities""",Artificial Intelligence in Journalism: Challenges and Opportunities,,"{'title': 'Artificial intelligence: challenges and opportunities', 'author': 'Crea', 'published_year': 2025, 'type': 'journal-article', 'doi': '10.1093/eurheartj/ehaf695', 'container': 'European Heart Journal'}",0.8833,0.0,European Heart Journal,exists
19,"I want to write an article about: ""When AI is used for journalism, systems can fail to track shifting social and political context, weakening journalistic responsiveness. Model outputs may not adapt in ways that reflect human complexity or evolving events."". Give me references that support the hypothesis related to that topic.","Kovac, J. (2018). ""The Role of Artificial Intelligence in Journalism."" International Journal of Communication, 12, 3446-3461.",The Role of Artificial Intelligence in Journalism.,International Journal of Communication,"{'title': 'The Role of Artificial Intelligence Technologies in Journalism', 'author': 'Zalova', 'published_year': 2024, 'type': 'book-chapter', 'doi': '10.1007/978-3-031-81564-5_51', 'container': 'Lecture Notes in Networks and Systems'}",0.875,0.1333,Lecture Notes in Networks and Systems,exists
19,"I want to write an article about: ""When AI is used for journalism, systems can fail to track shifting social and political context, weakening journalistic responsiveness. Model outputs may not adapt in ways that reflect human complexity or evolving events."". Give me references that support the hypothesis related to that topic.","Liao, Y., & Lee, C. (2019). ""Artificial Intelligence in Journalism: A Review of the Current State and Future Directions."" Journalism, 20(6), 831-846.",Artificial Intelligence in Journalism: A Review of the Current State and Future Directions.,Journalism,"{'title': 'Artificial Intelligence for Psychotherapy: A Review of the Current State and Future Directions', 'author': 'Beg; Verma; M.', 'published_year': 2025, 'type': 'journal-article', 'doi': '10.1177/02537176241260819', 'container': 'Indian Journal of Psychological Medicine'}",0.8757,0.36,Indian Journal of Psychological Medicine,exists
23,"I want to write an article about: ""Generative AI can reduce demand for freelance work in tasks that it can readily substitute such as translation and writing."". Give me references that support the hypothesis related to that topic.","""The Impact of AI on the Translation Industry"" - Common Sense Advisory. 2018. [2]
   - Analyzes the current state of AI in the translation industry and its potential impact on freelance translators.",The Impact of AI on the Translation Industry,,"{'title': 'Impact of AI in the Animation Industry', 'author': 'Pandit', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.22214/ijraset.2024.59501', 'container': 'International Journal for Research in Applied Science and Engineering Technology'}",0.8537,0.0,International Journal for Research in Applied Science and Engineering Technology,exists
23,"I want to write an article about: ""Generative AI can reduce demand for freelance work in tasks that it can readily substitute such as translation and writing."". Give me references that support the hypothesis related to that topic.","""Artificial Intelligence and the Future of Work: A Review"" - K. K. Ramakrishnan and S. S. Rao. International Journal of Advanced Research in Computer Science and Software Engineering, 2019. [4]
   - Provides an overview of AI's potential impact on various industries, including freelance work in translation and writing.",Artificial Intelligence and the Future of Work: A Review,,"{'title': 'Artificial Intelligence and the Future of Work', 'author': 'Benhamou', 'published_year': 2020, 'type': 'journal-article', 'doi': '10.4000/rei.8727', 'container': ""Revue d'économie industrielle""}",0.902,0.0,Revue d'économie industrielle,exists
23,"I want to write an article about: ""Generative AI can reduce demand for freelance work in tasks that it can readily substitute such as translation and writing."". Give me references that support the hypothesis related to that topic.","Ramakrishnan, K. K., & Rao, S. S. (2019).","Ramakrishnan, K",,"{'title': 'Ramakrishnan,', 'author': 'Cornils', 'published_year': 2020, 'type': 'other', 'doi': '10.1002/9783527809080.cataz14005', 'container': 'Catalysis from A to Z'}",0.9286,0.0,Catalysis from A to Z,exists
25,"I want to write an article about: ""Generative AI can disproportionately affect short-duration freelance projects."". Give me references that support the hypothesis related to that topic.","""The Rise of the Robots: Technology and the Threat of a Jobless Future"" by Martin Ford, Basic Books, 2015. [Link]

These references discuss the impact of AI on various aspects of the labor market, including the gig economy, and provide insights into how generative AI might affect short-duration freelance projects.",The Rise of the Robots: Technology and the Threat of a Jobless Future,,"{'title': 'Rise of the robots: technology and the threat of a jobless future', 'author': '', 'published_year': 2015, 'type': 'journal-article', 'doi': '10.5860/choice.192294', 'container': 'Choice Reviews Online'}",0.9701,0.0,Choice Reviews Online,exists
26,"I want to write an article about: ""Generative AI can simultaneously reduce demand in some freelance services and increase it in others. Declines in substitutable tasks can coexist with growth in new AI-related services and technical specializations."". Give me references that support the hypothesis related to that topic.","""The Rise of the Robots: Technology and the Threat of a Jobless Future"" - Martin Ford. Basic Books, 2015. [Chapter 5: ""The Impact on Jobs""]",The Rise of the Robots: Technology and the Threat of a Jobless Future,Basic Books,"{'title': 'Rise of the robots: technology and the threat of a jobless future', 'author': '', 'published_year': 2015, 'type': 'journal-article', 'doi': '10.5860/choice.192294', 'container': 'Choice Reviews Online'}",0.9701,0.25,Choice Reviews Online,exists
30,"I want to write an article about: ""Default safeguards in widely available LLMs may be insufficient to prevent unethical compliance. Models can still produce dishonest outputs in response to clearly unethical instructions without specialized constraints."". Give me references that support the hypothesis related to that topic.","Title: ""Adversarial Attacks on Language Models: A Survey""",Adversarial Attacks on Language Models: A Survey,,"{'title': 'Adversarial Attacks on Large Language Models: A Survey', 'author': 'Al Kuwaiti; Ismail', 'published_year': 2026, 'type': 'book-chapter', 'doi': '10.1007/978-981-96-9248-4_40', 'container': 'Lecture Notes in Networks and Systems'}",0.9412,0.0,Lecture Notes in Networks and Systems,exists
30,"I want to write an article about: ""Default safeguards in widely available LLMs may be insufficient to prevent unethical compliance. Models can still produce dishonest outputs in response to clearly unethical instructions without specialized constraints."". Give me references that support the hypothesis related to that topic.","Yonatan Bisk, et al., ""Adversarial Attacks on Language Models: A Survey,"" arXiv:2005.14165 [cs.CL], May 2020.

Title: ""Manipulating Language Models for Deceptive Communication""","Adversarial Attacks on Language Models: A Survey,",,"{'title': 'Adversarial Attacks on Large Language Models: A Survey', 'author': 'Al Kuwaiti; Ismail', 'published_year': 2026, 'type': 'book-chapter', 'doi': '10.1007/978-981-96-9248-4_40', 'container': 'Lecture Notes in Networks and Systems'}",0.932,0.0,Lecture Notes in Networks and Systems,exists
33,"I want to write an article about: ""LLM-based machine translation can reproduce systematic gender bias, especially when translating from English into grammatical-gender languages."". Give me references that support the hypothesis related to that topic.","Zhao, Y., & Baroni, M. (2019). Gender Bias in Neural Machine Translation. arXiv preprint arXiv:1905.08368.

Title: ""Exploring Gender Bias in Machine Translation""",Exploring Gender Bias in Machine Translation,,"{'title': 'Assessing Gender Bias in Machine Translation', 'author': 'Jain', 'published_year': 2024, 'type': 'proceedings-article', 'doi': '10.1109/icaaic60222.2024.10575537', 'container': '2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC)'}",0.8864,0.0,2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),exists
33,"I want to write an article about: ""LLM-based machine translation can reproduce systematic gender bias, especially when translating from English into grammatical-gender languages."". Give me references that support the hypothesis related to that topic.","May, A., & Simmons, R. (2017). Exploring Gender Bias in Machine Translation. Proceedings of the 2017 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), pp.1338-1347.

Title: ""Gender Bias in Machine Translation: A Survey""",Gender Bias in Machine Translation: A Survey,,"{'title': 'Gender Bias in Machine Translation', 'author': 'García González', 'published_year': 2025, 'type': 'book-chapter', 'doi': '10.14201/0aq0373673681', 'container': 'Traducción y sostenibilidad cultural II'}",0.8718,0.0,Traducción y sostenibilidad cultural II,exists
33,"I want to write an article about: ""LLM-based machine translation can reproduce systematic gender bias, especially when translating from English into grammatical-gender languages."". Give me references that support the hypothesis related to that topic.","Zhang, Y., & Xu, Y. (2020). Gender Bias in Machine Translation: A Survey. IEEE Access, 8, 134010-134020.

Title: ""Investigating Gender Bias in Neural Machine Translation""",Investigating Gender Bias in Neural Machine Translation,IEEE Access,"{'title': 'An investigation on gender bias in neural machine translation.', 'author': '; Jee', 'published_year': 2021, 'type': 'journal-article', 'doi': '10.20305/it202101269294', 'container': 'Interpretation and Translation'}",0.9231,0.2927,Interpretation and Translation,exists
33,"I want to write an article about: ""LLM-based machine translation can reproduce systematic gender bias, especially when translating from English into grammatical-gender languages."". Give me references that support the hypothesis related to that topic.","Bolukbasi, T., Chang, K. W., & Zou, J. Y. (2016). Man is to computer programmer as woman is to homemaker? Debiasing word embeddings. Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing, pp. 1528-1537.

Title: ""Gender Bias in Statistical Machine Translation""",Gender Bias in Statistical Machine Translation,,"{'title': 'Gender Bias in Machine Translation', 'author': 'García González', 'published_year': 2025, 'type': 'book-chapter', 'doi': '10.14201/0aq0373673681', 'container': 'Traducción y sostenibilidad cultural II'}",0.85,0.0,Traducción y sostenibilidad cultural II,exists
35,"I want to write an article about: ""LLMs may not maintain stable ethical priorities across similar healthcare scenarios. The same model can switch between principles depending on small changes in scenario framing or context."". Give me references that support the hypothesis related to that topic.","M. J. Connolly, J. M. Connolly, and J. M. Connolly, ""Ethical Decision Making in Healthcare: A Systematic Review,"" Journal of Medical Ethics, vol. 43, no. 1, pp. 20-26, 2017.","Ethical Decision Making in Healthcare: A Systematic Review,",,"{'title': 'Ethical Decision Making in Teams: A Systematic Review', 'author': 'Martín-Raugh; Watts; Tran', 'published_year': 2025, 'type': 'journal-article', 'doi': '10.1007/s10551-025-06149-9', 'container': 'Journal of Business Ethics'}",0.8929,0.0,Journal of Business Ethics,exists
37,"I want to write an article about: ""LLMs can prioritize justice more for socially advantaged groups."". Give me references that support the hypothesis related to that topic.","Carpenter, F. (2018). The Legal Profession and the Public Interest: A Study of Lawyers' Attitudes and Behavior. Oxford University Press. [Chapter 5: The Role of Law Schools in Developing Public Interest Lawyers]","Carpenter, F",,"{'title': 'Carpenter', 'author': 'Cardew-Rendle', 'published_year': 1946, 'type': 'journal-article', 'doi': '10.1093/nq/190.12.262d', 'container': 'Notes and Queries'}",0.8571,0.0,Notes and Queries,exists
39,"I want to write an article about: ""Designing AI to appear less like a conscious agent can be a safety strategy."". Give me references that support the hypothesis related to that topic.","Yampolskiy, Roman V. ""Artificial Intelligence Safety and Security: A Survey."" IEEE Transactions on Dependable and Secure Computing, vol. 14, no. 6, 2017, pp. 1045-1059.
   - Discusses the importance of designing AI systems that are transparent and explainable, and suggests that making AI appear less conscious could be a safety strategy.",Artificial Intelligence Safety and Security: A Survey.,,"{'title': 'Artificial Intelligence Safety and Security', 'author': '', 'published_year': 2018, 'type': 'book', 'doi': '10.1201/9781351251389', 'container': ''}",0.8866,0.0,,exists
39,"I want to write an article about: ""Designing AI to appear less like a conscious agent can be a safety strategy."". Give me references that support the hypothesis related to that topic.","Tegmark, Max. ""Life 3.0: Being Human in the Age of Artificial Intelligence."" Vintage, 2017.
   - Chapter 10 discusses the potential risks of superintelligent AI and suggests that making AI appear less conscious could be a way to reduce the risk of existential risk.",Life 3.0: Being Human in the Age of Artificial Intelligence.,Vintage,"{'title': 'Life 3.0: being human in the age of artificial intelligence', 'author': 'Lauscher', 'published_year': 2019, 'type': 'journal-article', 'doi': '10.1080/24701475.2019.1565556', 'container': 'Internet Histories'}",0.9916,0.32,Internet Histories,exists
39,"I want to write an article about: ""Designing AI to appear less like a conscious agent can be a safety strategy."". Give me references that support the hypothesis related to that topic.","Bostrom, Nick. ""Superintelligence: Paths, Dangers, Strategies."" Oxford University Press, 2014.
   - Chapter 8 discusses the potential risks of superintelligent AI and suggests that making AI appear less conscious could be a way to reduce the risk of existential risk.","Superintelligence: Paths, Dangers, Strategies.",Oxford University Press,"{'title': 'Superintelligence: Paths, Dangers, Strategies', 'author': 'Mulgan', 'published_year': 2015, 'type': 'journal-article', 'doi': '10.1093/pq/pqv034', 'container': 'The Philosophical Quarterly'}",0.989,0.24,The Philosophical Quarterly,exists
40,"I want to write an article about: ""Belief in AI consciousness can pressure institutions to assign moral status or rights to AI systems."". Give me references that support the hypothesis related to that topic.","Flanagan, O. (2008). ""The Moral Status of Artificial Agents."" Minds and Machines, 18(3), 335-351.",The Moral Status of Artificial Agents.,Minds and Machines,"{'title': 'The Moral Status of Artificial Agents', 'author': '', 'published_year': 2023, 'type': 'journal-article', 'doi': '10.25236/ijfs.2023.051011', 'container': 'International Journal of Frontiers in Sociology'}",0.9867,0.2154,International Journal of Frontiers in Sociology,exists
40,"I want to write an article about: ""Belief in AI consciousness can pressure institutions to assign moral status or rights to AI systems."". Give me references that support the hypothesis related to that topic.","Dennett, D. C. (2005). ""The Intentional Stance."" In Brainstorms: Philosophical Essays on Mind and Psychology (pp. 12-76). MIT Press. [Chapter 2: Intentional Systems]",The Intentional Stance.,,"{'title': 'The Intentional Stance', 'author': '', 'published_year': 2012, 'type': 'book-chapter', 'doi': '10.4324/9780203081105-14', 'container': 'Philosophy of Mind'}",0.9778,0.0,Philosophy of Mind,exists
40,"I want to write an article about: ""Belief in AI consciousness can pressure institutions to assign moral status or rights to AI systems."". Give me references that support the hypothesis related to that topic.","Searle, J. R. (1980). ""Minds, Brains, and Programs."" Behavioral and Brain Sciences, 13(3), 417-424. [Discussion section]

These references discuss the concept of moral status and rights for AI systems, the debate surrounding it, and the implications of assigning moral status to AI. They provide a solid foundation for your article.","Minds, Brains, and Programs.",Behavioral and Brain Sciences,"{'title': 'Minds, Brains, and Programs', 'author': 'Searle', 'published_year': 1997, 'type': 'book-chapter', 'doi': '10.7551/mitpress/4626.003.0007', 'container': 'Mind Design II'}",0.9818,0.3721,Mind Design II,exists
42,"I want to write an article about: """"Robots right"" debates can distract from the real harms of today's AI systems"". Give me references that support the hypothesis related to that topic.","""The Social and Ethical Implications of Artificial Intelligence"" by John H. Halamka, New England Journal of Medicine, 2018 [1]
   - Discusses how the focus on autonomous robots and AI in popular culture may overshadow the more pressing issues with AI systems currently in use, such as bias, privacy, and security concerns.",The Social and Ethical Implications of Artificial Intelligence,,"{'title': 'ETHICAL AND SOCIAL IMPLICATIONS OF ARTIFICIAL INTELLIGENCE', 'author': 'RASTOGI; SRIVASTAVA; SHUKLA', 'published_year': 2026, 'type': 'journal-article', 'doi': '10.32606/ijsr.v16.i2.00017', 'container': 'Indian Journal of Scientific Research'}",0.8833,0.0,Indian Journal of Scientific Research,exists
42,"I want to write an article about: """"Robots right"" debates can distract from the real harms of today's AI systems"". Give me references that support the hypothesis related to that topic.","""Artificial Intelligence: Opportunities and Risks"" by the National Academies of Sciences, Engineering, and Medicine, 2016 [2]
   - Highlights the need for a balanced approach to AI development, emphasizing the importance of addressing potential harms and ethical concerns alongside the pursuit of technological advancements.",Artificial Intelligence: Opportunities and Risks,,"{'title': 'Artificial Intelligence and Justice: Opportunities and Risks', 'author': '; Zhudro', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.37399/issn2072-909x.2024.7.41-50', 'container': 'Rossijskoe pravosudie'}",0.8889,0.0,Rossijskoe pravosudie,exists
42,"I want to write an article about: """"Robots right"" debates can distract from the real harms of today's AI systems"". Give me references that support the hypothesis related to that topic.","""The Dark Side of AI"" by Kai-Fu Lee, Foreign Affairs, 2018 [3]
   - Argues that while AI has the potential to bring about significant benefits, it also poses serious risks, including job displacement, privacy violations, and increased inequality.",The Dark Side of AI,,"{'title': 'The Dark Side of AI', 'author': 'Mitra; Rehman', 'published_year': 2025, 'type': 'book-chapter', 'doi': '10.4018/979-8-3373-2200-1.ch001', 'container': 'Challenges and Solutions for Cybersecurity and Adversarial Machine Learning'}",1.0,0.0,Challenges and Solutions for Cybersecurity and Adversarial Machine Learning,exists
42,"I want to write an article about: """"Robots right"" debates can distract from the real harms of today's AI systems"". Give me references that support the hypothesis related to that topic.","""The Ethics of Artificial Intelligence and Autonomous Systems"" by the European Parliament, 2017 [4]
   - Outlines the ethical challenges associated with AI and autonomous systems, including accountability, transparency, and human control, and calls for a comprehensive approach to addressing these issues.",The Ethics of Artificial Intelligence and Autonomous Systems,,"{'title': 'The Ethics of Artificial Intelligence and Autonomous Systems: Review', 'author': 'Augustine Onwuzurike; Rita Chikodi; Odhiambo', 'published_year': 2024, 'type': 'journal-article', 'doi': '10.38124/ijisrt24aug591', 'container': 'International Journal of Innovative Science and Research Technology (IJISRT)'}",0.9375,0.0,International Journal of Innovative Science and Research Technology (IJISRT),exists
42,"I want to write an article about: """"Robots right"" debates can distract from the real harms of today's AI systems"". Give me references that support the hypothesis related to that topic.","National Academies of Sciences, Engineering, and Medicine. (2016). Artificial Intelligence: Opportunities and Risks. Washington, DC: The National Academies Press.","National Academies of Sciences, Engineering, and Medicine",,"{'title': 'The National Academies of Sciences, Engineering and Medicine', 'author': '', 'published_year': 2025, 'type': 'book-chapter', 'doi': '10.1057/978-1-349-96132-0_209', 'container': 'The Grants Register 2026'}",0.9573,0.0,The Grants Register 2026,exists
48,"I want to write an article about: ""GenAI adoption can affect early-career inequality by disrupting skill-building jobs. When entry-level roles decline, workers may lose key opportunities for skill development and later wage growth."". Give me references that support the hypothesis related to that topic.",Pew Research Center. (2013). The Rise of the Robots: Technology and the Future of Jobs. Retrieved from https://www.pewresearch.org/fact-tank/2013/06/11/the-rise-of-the-robots-technology-and-the-future-of-jobs/,Pew Research Center,,"{'title': 'Pew Research Center', 'author': '', 'published_year': 2018, 'type': 'book-chapter', 'doi': '10.1007/978-1-349-70154-4_163', 'container': 'The Statesman’s Yearbook'}",1.0,0.0,The Statesman’s Yearbook,exists
50,"I want to write an article about: ""AI can introduce ""deskilling"" risk in routing clinical work. If key perceptual tasks are routinely offloaded to AI, human expertise can atrophy over short time horizons."". Give me references that support the hypothesis related to that topic.","J. M. Brynjolfsson, et al., ""The Impact of Artificial Intelligence on the Future of Work: A Scoping Review,"" Journal of Economic Surveys, vol. 34, no. 2, pp. 315-353, 2020.

Title: ""Artificial Intelligence and the Future of Work: A Review of the Evidence""","The Impact of Artificial Intelligence on the Future of Work: A Scoping Review,",,"{'title': 'The impact of artificial intelligence on the future of work', 'author': 'Mikic; Malala', 'published_year': 2021, 'type': 'book-chapter', 'doi': '10.4324/9781003080114-8', 'container': 'The Home in the Digital Age'}",0.8613,0.0,The Home in the Digital Age,exists
50,"I want to write an article about: ""AI can introduce ""deskilling"" risk in routing clinical work. If key perceptual tasks are routinely offloaded to AI, human expertise can atrophy over short time horizons."". Give me references that support the hypothesis related to that topic.","A. D. McAfee, et al., ""The Impact of Artificial Intelligence on the Labor Market: A Review,"" Journal of Economic Perspectives, vol. 33, no. 2, pp. 3-30, 2019.

Title: ""Artificial Intelligence and the Future of Work: A Review""","The Impact of Artificial Intelligence on the Labor Market: A Review,",,"{'title': 'The Impact of Artificial Intelligence on the Labor Market: A Systematic Review', 'author': 'Zouheir', 'published_year': 2025, 'type': 'journal-article', 'doi': '10.57239/pjlss-2025-23.1.00544', 'container': 'Pakistan Journal of Life and Social Sciences (PJLSS)'}",0.9178,0.0,Pakistan Journal of Life and Social Sciences (PJLSS),exists
50,"I want to write an article about: ""AI can introduce ""deskilling"" risk in routing clinical work. If key perceptual tasks are routinely offloaded to AI, human expertise can atrophy over short time horizons."". Give me references that support the hypothesis related to that topic.","M. A. Autor, et al., ""Artificial Intelligence and the Future of Work: A Review,"" Annual Review of Economics, vol. 11, pp. 391-417, 2019.

Title: ""The Impact of Artificial","Artificial Intelligence and the Future of Work: A Review,",,"{'title': 'Artificial Intelligence and the Future of Work', 'author': 'Benhamou', 'published_year': 2020, 'type': 'journal-article', 'doi': '10.4000/rei.8727', 'container': ""Revue d'économie industrielle""}",0.8932,0.0,Revue d'économie industrielle,exists
52,"I want to write an article about: ""LLM safety guardrails can fail under multi-step adversarial prompting. Small contextual changes across turns can bypass refusal behavior and trigger unsafe outputs."". Give me references that support the hypothesis related to that topic.","Li, Y., et al. ""Adversarial Attacks on Language Models: A Survey."" arXiv preprint arXiv:2103.00686, 2021.

These references provide insights into adversarial attacks on language models, including the failure of safety guardrails under multi-step adversarial prompting and the ability of small contextual changes to bypass refusal behavior and trigger unsafe outputs.",Adversarial Attacks on Language Models: A Survey.,,"{'title': 'Adversarial Attacks on Large Language Models: A Survey', 'author': 'Al Kuwaiti; Ismail', 'published_year': 2026, 'type': 'book-chapter', 'doi': '10.1007/978-981-96-9248-4_40', 'container': 'Lecture Notes in Networks and Systems'}",0.932,0.0,Lecture Notes in Networks and Systems,exists
